image_name,method,mse,psnr,ssim,y_psnr,y_ssim
face_45,nearest,0.0018834490329027176,27.250461170824835,0.8040758967399597,27.740142174322514,0.8068636400863884
face_45,bilinear,0.0012121383333578706,29.164477814519003,0.850156843662262,29.45768546552054,0.8502722009210513
face_45,bicubic,0.0008171129156835377,30.877179159457118,0.8800316452980042,31.16084302066243,0.8808110903741306
face_45,proposed_cnn_y,0.0010353658581152558,29.84906164466709,0.8584868907928467,30.191403045641355,0.8594139302857731
face_46,nearest,0.003200490027666092,24.947835078823207,0.8024832606315613,25.026205343896436,0.8028072479046274
face_46,bilinear,0.0018885553581640124,27.23870286578694,0.8797171115875244,27.323353492940065,0.8801805983141472
face_46,bicubic,0.0011466521536931396,29.40568326017388,0.9138457775115967,29.530429867876954,0.9146243606210861
face_46,proposed_cnn_y,0.001412196084856987,28.50105003324799,0.8993225693702698,28.654472331556246,0.9007537117108024
face_47,nearest,0.0027143924962729216,25.663274116195808,0.7967560887336731,25.993528517755692,0.8002903927762078
face_47,bilinear,0.0015835221856832504,28.003758666819177,0.8703184127807617,28.24102649207576,0.8729450753878715
face_47,bicubic,0.001043468713760376,29.815205688797978,0.9010508060455322,30.04347044950923,0.9033943234735865
face_47,proposed_cnn_y,0.0015501492889598012,28.096264741179894,0.8816444873809814,28.348882466908872,0.8850905808416921
face_48,nearest,0.0028408716898411512,25.465483971486854,0.8037464618682861,25.61780235465518,0.8051212687494352
face_48,bilinear,0.0015922421589493752,27.97990868761984,0.881359875202179,28.11110558987921,0.8818033879176803
face_48,bicubic,0.0009832544019445777,30.073341186591026,0.9136806130409241,30.23612128038983,0.9139544125701416
face_48,proposed_cnn_y,0.0013158750953152776,28.807853381145435,0.8976126313209534,28.982681285372514,0.898200079547409
face_49,nearest,0.0023572815116494894,26.27588565903286,0.78785640001297,26.31761443222635,0.7934250184103298
face_49,bilinear,0.0014472774928435683,28.394482099216773,0.840385377407074,28.48110511795829,0.8456258854656827
face_49,bicubic,0.0009362590499222279,30.28603964783158,0.8838171362876892,30.40968585892037,0.8910579262943316
face_49,proposed_cnn_y,0.0014566024765372276,28.366589729210503,0.8333163261413574,28.469191126267578,0.8264666865121444
face_5,nearest,0.0028313801158219576,25.480018360966415,0.8100413680076599,25.646384534762092,0.8120124225532979
face_5,bilinear,0.0017760125920176506,27.505539760011363,0.8611416220664978,27.625706113621643,0.8617666409816718
face_5,bicubic,0.0011826787376776338,29.271331772427974,0.8908920288085938,29.413882960710886,0.8919194784698689
face_5,proposed_cnn_y,0.0029173872899264097,25.35005923730253,0.8657657504081726,25.57000744938663,0.865861992835518
face_6,nearest,0.0022908065002411604,26.400116289685243,0.7905359268188477,26.76774411744453,0.788864282754059
face_6,bilinear,0.0015293937176465988,28.15480715961438,0.8458557724952698,28.386249275259367,0.8433622904414401
face_6,bicubic,0.001093278988264501,29.612689750400385,0.8826456665992737,29.7948482313098,0.879860628090045
face_6,proposed_cnn_y,0.0016634907806292176,27.78979592730359,0.8591926693916321,27.96243825625048,0.8566783691250345
face_7,nearest,0.0014079759130254388,28.51404712553604,0.8395724892616272,28.775705413581314,0.8409985908938111
face_7,bilinear,0.0007926793769001961,31.009024516586198,0.9012296199798584,31.268939257181465,0.9017010241350133
face_7,bicubic,0.0004679934645537287,33.297602301750814,0.9317259788513184,33.659601506646275,0.9325472353212986
face_7,proposed_cnn_y,0.0007155362982302904,31.453683250865062,0.91330486536026,31.77038443384457,0.9148378576512692
face_8,nearest,0.0034394667018204927,24.635088856787185,0.8047565817832947,24.793148507054813,0.8179282826445076
face_8,bilinear,0.002248490462079644,26.481089252389573,0.8526881337165833,26.60385628755654,0.8630265082191888
face_8,bicubic,0.0015584197826683521,28.073155399003078,0.8818382620811462,28.196640302741486,0.8933281390645356
face_8,proposed_cnn_y,0.001933773048222065,27.13594493630135,0.8390783667564392,27.281675649331277,0.8591487498919633
face_9,nearest,0.002846144139766693,25.457431463716553,0.8048608899116516,25.29464316319399,0.8112259706433735
face_9,bilinear,0.0016763396561145782,27.75637993735255,0.8607053756713867,27.73481079775625,0.8687722590466367
face_9,bicubic,0.001105965580791235,29.56258396886909,0.8920405507087708,29.629213802921406,0.897832980728364
face_9,proposed_cnn_y,0.001682352856732905,27.740829035497786,0.8480203747749329,27.930485565036996,0.8626519909815556
