sample_index,method,mse,psnr,ssim
0,nearest,0.0066316258162260056,21.78379998208307,0.6518027951501256
0,bilinear,0.0055669331923127174,22.543839675546753,0.6730543450038081
0,bicubic,0.004671127535402775,23.305782993271347,0.7232555608160176
0,proposed_cnn,0.003747371956706047,24.26273187375845,0.7667402184101543
1,nearest,0.004327436909079552,23.637692348938796,0.7134581356427431
1,bilinear,0.003117660526186228,25.061711534228426,0.772604063925124
1,bicubic,0.0024941039737313986,26.03085453526925,0.8079550963959089
1,proposed_cnn,0.0021229865960776806,26.7305274519037,0.8286972828148493
2,nearest,0.0028039924800395966,25.52223164619322,0.7030356030172848
2,bilinear,0.002473857719451189,26.06625267504959,0.7332571831016328
2,bicubic,0.0021338036749511957,26.70845546196222,0.7691809653948054
2,proposed_cnn,0.0020507811568677425,26.88080664128888,0.783919688431999
3,nearest,0.00246312003582716,26.08514460243386,0.7732670753174761
3,bilinear,0.0015459917485713959,28.107928286223416,0.8510539683033147
3,bicubic,0.0009683758253231645,30.139560620114416,0.8933992129113796
3,proposed_cnn,0.000859077088534832,30.659678460090678,0.9063926642081245
4,nearest,0.0027836060617119074,25.553922282958975,0.7408738044731753
4,bilinear,0.0019260996486991644,27.15321259293794,0.8137258991386462
4,bicubic,0.0014459186932072043,28.398561502814815,0.8514909057365232
4,proposed_cnn,0.0013055333402007818,28.84212040717211,0.871638794734135
5,nearest,0.007187715265899897,21.434091299112026,0.5929878308915607
5,bilinear,0.006378574296832085,21.952764011728952,0.5992058810858802
5,bicubic,0.00562863377854228,22.495970095643504,0.6496778066608779
5,proposed_cnn,0.005204002372920513,22.83662499434702,0.6935330897209198
6,nearest,0.0052650244906544685,22.785996211515,0.6560186772744584
6,bilinear,0.004408756736665964,23.55683858437821,0.6790750302182229
6,bicubic,0.003833494847640395,24.164051199000284,0.7176772291538407
6,proposed_cnn,0.003683263435959816,24.33767219099796,0.7401342249833109
7,nearest,0.006236664019525051,22.05047657712519,0.6789982523409409
7,bilinear,0.005101286806166172,22.92320245039912,0.705328239923569
7,bicubic,0.004097493831068277,23.874816940499286,0.7631717257662246
7,proposed_cnn,0.003561895340681076,24.4831884436187,0.8019028387993326
8,nearest,0.0050849951803684235,22.93709436368554,0.667449471474582
8,bilinear,0.004170605447143316,23.798009094554637,0.7029653268680198
8,bicubic,0.0034602826926857233,24.608884115556535,0.7487400981513198
8,proposed_cnn,0.002979506039991975,25.258557269971426,0.788345135276842
9,nearest,0.003354941960424185,24.74314991572549,0.7461530624531147
9,bilinear,0.0026228642091155052,25.81224226548874,0.7939248925371718
9,bicubic,0.002114236820489168,26.74846344403943,0.8246585889722196
9,proposed_cnn,0.0017648357897996902,27.532956923936574,0.842484233546537
10,nearest,0.003917519468814135,24.069888576051234,0.6511610402857417
10,bilinear,0.0033783582039177418,24.71294287361099,0.670334056336205
10,bicubic,0.0028849588707089424,25.39860361695679,0.7137991098743669
10,proposed_cnn,0.0025733604561537504,25.89499387888848,0.7596853592617062
11,nearest,0.0032594113145023584,24.86860847340511,0.682075982236062
11,bilinear,0.002821521367877722,25.49516685406282,0.7257401471394936
11,bicubic,0.0024228221736848354,26.156784695412682,0.7654993639446077
11,proposed_cnn,0.0023578405380249023,26.274855994505618,0.7816383910364573
12,nearest,0.002361524850130081,26.268074858328767,0.7818451526925836
12,bilinear,0.0014237937284633517,28.46552934486692,0.8640282807902706
12,bicubic,0.0009316299110651016,30.30756577568988,0.9025894237702157
12,proposed_cnn,0.0007437185849994421,31.285913717952827,0.9181169277451839
13,nearest,0.003732210723683238,24.280338476210336,0.7037834345111701
13,bilinear,0.0028354935348033905,25.473713428540883,0.7437742986972693
13,bicubic,0.002297464292496443,26.38751266428825,0.7802345604064357
13,proposed_cnn,0.001906473538838327,27.197692315407856,0.8008057905167815
14,nearest,0.0027139391750097275,25.663998956170072,0.7336598350251189
14,bilinear,0.002188814105466008,26.59791139915506,0.7762036395129636
14,bicubic,0.0017940741963684559,27.461596000353715,0.8161780349312264
14,proposed_cnn,0.0016074961749836802,27.938500316361026,0.841723903681414
15,nearest,0.0032767378725111485,24.84558288814023,0.757749104400594
15,bilinear,0.0022301319986581802,26.51669406501446,0.8269317383821456
15,bicubic,0.0015862437430769205,27.996300615904715,0.8711615045389933
15,proposed_cnn,0.0013282641302794218,28.7671557475827,0.8912653645613737
16,nearest,0.002554146572947502,25.92754228519272,0.7066213793202119
16,bilinear,0.0018115623388439417,27.41946709594692,0.7731927037460554
16,bicubic,0.0014001233503222466,28.53833679104287,0.8168594499166244
16,proposed_cnn,0.0012942901812493801,28.879683222122118,0.8357271849134589
17,nearest,0.007655499503016472,21.160264547689096,0.5792046575757894
17,bilinear,0.00669107586145401,21.74504042810351,0.5909488716517874
17,bicubic,0.0058778454549610615,22.307818304534706,0.6431888783230919
17,proposed_cnn,0.005457520484924316,22.630046442514296,0.6802922271004647
18,nearest,0.0033140876330435276,24.796360090643994,0.7084150013256254
18,bilinear,0.002502137329429388,26.016888710386223,0.7588756627017825
18,bicubic,0.0019948494154959917,27.000898726349387,0.806419355152496
18,proposed_cnn,0.0017160098068416119,27.654802163997747,0.8360406153510889
19,nearest,0.007849816232919693,21.051405158909166,0.6157244505979759
19,bilinear,0.00723192049190402,21.407463451890642,0.6363691860491303
19,bicubic,0.006574798375368118,21.821175636073043,0.671418338924804
19,proposed_cnn,0.006091255694627762,22.152931806332244,0.7055654565359069
