method,mse,psnr,ssim,y_psnr,y_ssim
bicubic,0.001033508378895931,30.02748121353029,0.8971568465232849,30.207473728168868,0.8999330575007388
proposed_cnn_y,0.0015682729077525436,28.30911319167212,0.8695744931697845,28.516162160959652,0.8729103949383162
bilinear,0.0015746651333756745,28.16881707599158,0.8643558144569397,28.323383788974912,0.8669455870830383
nearest,0.0025812258129008113,26.008964209305496,0.8044685363769531,26.19729185588929,0.8079537117416038
