method,mse,psnr,ssim
proposed_cnn,0.0026177741354331376,26.52507201313752,0.803732469581502
bicubic,0.002930614072829485,25.992599686738856,0.776827760487099
bilinear,0.0035213719645980747,25.04134094110571,0.7345296707556247
nearest,0.004338700778316706,23.973283177025596,0.6922142373003167
