epoch,train_loss,val_loss
1,0.0473910890519619,0.04505171328783035
2,0.029147289320826532,0.015808385610580445
3,0.012975046038627624,0.009212182462215423
4,0.009290875680744649,0.00588819645345211
5,0.00678853802382946,0.007975841872394085
6,0.005304115545004606,0.005436609219759703
7,0.003991389414295554,0.0036626306362450125
8,0.0032462984323501586,0.002799931354820728
9,0.0029780565295368434,0.0023663042113184927
10,0.0025897858664393424,0.0022318637929856777
11,0.0024900439893826842,0.0021581283304840325
12,0.0023507684702053664,0.0020686504896730183
13,0.002244313945993781,0.0019585383124649525
14,0.0021693673450499775,0.0018747581634670496
15,0.0020952187012881042,0.0018042484764009715
16,0.00203350312076509,0.0018307006917893886
17,0.002016867231577635,0.001724683027714491
18,0.0019575882935896514,0.0016976578626781702
19,0.0019417290342971683,0.0016028376296162606
20,0.0018956412095576525,0.0015750556252896787
21,0.0018221653532236814,0.001535625010728836
22,0.0017855935730040073,0.0015484862029552459
23,0.0018104299204424023,0.001532756513915956
24,0.0018470022128894924,0.0014739947393536568
25,0.001812487794086337,0.0016789057990536094
