epoch,train_loss,val_loss
1,0.017682359693571924,0.007733172457665205
2,0.0061126430053263904,0.004520388506352902
3,0.004076158057432622,0.0033613251522183417
4,0.0034477058798074722,0.002925992850214243
5,0.0032199400709941985,0.0027764646336436273
6,0.003104889509268105,0.002681102929636836
7,0.0030564099201001228,0.002637226181104779
8,0.003048474690876901,0.002582099474966526
9,0.0028674117638729513,0.0025755420327186586
10,0.0029741848353296517,0.002647299086675048
11,0.0028228237642906606,0.0024365269113332034
12,0.002879986132029444,0.002514375699684024
13,0.002748577715829015,0.0023784270510077477
14,0.002766371110919863,0.0027143392246216534
15,0.0027988644316792486,0.0024018544703722
16,0.0026654904359020293,0.002333245798945427
17,0.00268355302978307,0.0023285191506147384
18,0.0026946836966089903,0.002878595283254981
19,0.0028518684208393096,0.002320984983816743
20,0.0026546198641881347,0.0023373187985271217
